seq,time,place,sevice,food,staff,review,liked
1,0,0,0,0,0,Wow... Loved this place.,1
2,0,0,0,0,0,Crust is not good.,0
3,0,0,0,0,0,Not tasty and the texture was just nasty.,0
4,0,0,0,0,0,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1
5,0,0,0,0,0,The selection on the menu was great and so were the prices.,1
6,0,0,0,0,0,Now I am getting angry and I want my damn pho.,0
7,0,0,0,0,0,Honeslty it didn't taste THAT fresh.),0
8,1,0,0,0,0,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0
9,0,0,0,0,0,The fries were great too.,1
10,0,0,0,0,0,A great touch.,1
11,0,0,1,0,0,Service was very prompt.,1
12,0,0,0,0,0,Would not go back.,0
13,0,0,0,0,0,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0
14,0,0,0,0,0,"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",1
15,0,0,0,0,0,I was disgusted because I was pretty sure that was human hair.,0
16,0,0,0,0,0,I was shocked because no signs indicate cash only.,0
17,0,0,0,0,0,Highly recommended.,1
18,0,0,1,0,0,Waitress was a little slow in service.,0
19,1,1,0,0,0,"This place is not worth your time, let alone Vegas.",0
20,0,0,0,0,0,did not like at all.,0
21,0,0,0,0,0,The Burrittos Blah!,0
22,0,0,0,1,0,"The food, amazing.",1
23,0,0,1,0,0,Service is also cute.,1
24,0,0,0,0,0,I could care less... The interior is just beautiful.,1
25,0,0,0,0,0,So they performed.,1
26,0,0,0,0,0,That's right....the red velvet cake.....ohhh this stuff is so good.,1
27,0,0,0,0,0,- They never brought a salad we asked for.,0
28,0,0,0,0,1,"This hole in the wall has great Mexican street tacos, and friendly staff.",1
29,0,0,0,1,0,"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0
30,0,0,0,0,0,The worst was the salmon sashimi.,0
31,0,0,0,0,0,"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1
32,0,0,0,0,0,This was like the final blow!,0
33,0,1,0,0,0,I found this place by accident and I could not be happier.,1
34,0,1,0,1,0,"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0
35,0,1,0,0,0,"Overall, I like this place a lot.",1
36,0,0,0,0,0,The only redeeming quality of the restaurant was that it was very inexpensive.,1
37,0,0,0,0,0,Ample portions and good prices.,1
38,1,0,1,0,0,"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0
39,0,0,0,0,0,My first visit to Hiro was a delight!,1
40,0,0,1,0,0,Service sucks.,0
41,0,0,0,0,0,The shrimp tender and moist.,1
42,0,0,0,0,0,There is not a deal good enough that would drag me into that establishment again.,0
43,0,0,0,0,0,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0
44,0,0,1,0,0,"On a positive note, our server was very attentive and provided great service.",1
45,0,0,0,0,0,"Frozen pucks of disgust, with some of the worst people behind the register.",0
46,0,0,0,0,0,The only thing I did like was the prime rib and dessert section.,1
47,0,0,0,1,0,It's too bad the food is so damn generic.,0
48,0,0,0,0,0,"The burger is good beef, cooked just right.",1
49,0,0,0,0,0,If you want a sandwich just go to any Firehouse!!!!!,1
50,0,0,0,0,0,"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1
51,0,0,0,0,0,We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1
52,0,0,0,0,0,He came running after us when he realized my husband had left his sunglasses on the table.,1
53,0,0,0,0,0,Their chow mein is so good!,1
54,0,0,0,1,0,"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0
55,0,0,0,0,0,The portion was huge!,1
56,0,0,0,1,0,"Loved it...friendly servers, great food, wonderful and imaginative menu.",1
57,0,0,0,0,0,The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0
58,0,0,0,1,0,Not much seafood and like 5 strings of pasta at the bottom.,0
59,0,0,0,0,0,"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1
60,0,0,0,0,0,"The ripped banana was not only ripped, but petrified and tasteless.",0
61,0,0,0,0,0,At least think to refill my water before I struggle to wave you over for 10 minutes.,0
62,0,1,0,0,0,This place receives stars for their APPETIZERS!!!,1
63,0,0,0,0,0,The cocktails are all handmade and delicious.,1
64,0,0,0,0,0,We'd definitely go back here again.,1
65,0,1,0,0,0,We are so glad we found this place.,1
66,0,0,1,1,0,"Great food and service, huge portions and they give a military discount.",1
67,1,0,0,0,0,Always a great time at Dos Gringos!,1
68,1,0,0,0,0,Update.....went back for a second time and it was still just as amazing,1
69,0,0,0,1,0,We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0
70,0,0,0,0,0,A great way to finish a great.,1
71,0,0,0,0,0,"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1
72,1,0,0,0,0,"- Really, really good rice, all the time.",1
73,0,0,1,0,0,The service was meh.,0
74,0,0,0,0,0,"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0
75,0,1,0,0,0,"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0
76,0,0,0,0,0,The scallop dish is quite appalling for value as well.,0
77,1,0,1,0,0,2 times - Very Bad Customer Service !,0
78,0,0,0,0,0,The sweet potato fries were very good and seasoned well.,1
79,1,0,0,0,0,Today is the second time I've been to their lunch buffet and it was pretty good.,1
80,0,0,0,1,0,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0
81,0,0,0,0,0,Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0
82,0,1,0,0,0,walked in and the place smelled like an old grease trap and only 2 others there eating.,0
83,0,0,0,0,0,The turkey and roast beef were bland.,0
84,0,1,0,0,0,This place has it!,1
85,0,0,0,0,0,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0
86,0,0,0,0,0,I love the Pho and the spring rolls oh so yummy you have to try.,1
87,0,0,0,0,0,The poor batter to meat ratio made the chicken tenders very unsatisfying.,0
88,0,0,0,1,0,All I have to say is the food was amazing!!!,1
89,0,0,0,0,0,Omelets are to die for!,1
90,0,0,0,0,0,Everything was fresh and delicious!,1
91,0,0,0,0,0,"In summary, this was a largely disappointing dining experience.",0
92,0,0,0,0,0,"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1
93,0,0,0,0,0,"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0
94,0,0,0,0,0,Best breakfast buffet!!!,1
95,0,0,0,0,0,say bye bye to your tip lady!,0
96,0,0,0,0,0,We'll never go again.,0
97,0,0,0,0,0,Will be back again!,1
98,0,0,0,1,0,Food arrived quickly!,1
99,0,0,0,0,0,It was not good.,0
100,0,0,0,1,0,"On the up side, their cafe serves really good food.",1
